-98	0
-70	3112
-10	3213
-70	3313
-10	3414
-100	3514
-666	3614
-71	7002
4	6901
-1	7159
4	7541
-1	7656
4	7737
-1	7974
4	8034
-1	8177
4	8235
-1	8349
4	8416
-1	8517
4	8904
-1	9063
4	9172
-1	9276
-70	9777
-71	16382
4	16281
-1	16425
4	16796
-1	16980
4	17158
-1	17270
4	17377
-1	18001
4	18325
-1	18550
4	18847
-1	19039
4	19316
-1	19511
4	19799
-1	19969
-70	20470
-71	21209
6	21108
-1	21392
-70	21893
-71	22072
6	21971
-1	22224
-70	22725
-71	22979
2	22878
-1	23131
-70	23632
-71	23778
2	23677
-1	23933
-70	24434
-71	24574
2	24473
-1	24681
-70	25182
-71	25340
2	25239
-1	25470
-70	25971
-71	26074
2	25973
-1	26152
-70	26653
-71	26878
0	26777
-1	27069
0	27415
-1	27642
0	28025
-1	28211
-70	28712
-71	28749
4	28648
-1	28817
-70	29318
-71	29331
4	29230
-1	29586
4	29903
-1	30098
4	30445
-1	30624
-70	31125
-91	31592
-71	31592
38	31491
-1	31814
-70	32315
