-98	0
-55	3103
-10	3204
-85	3304
-10	3404
-100	3505
-666	3605
-71	31440
0	31339
-1	32675
-70	32676
-71	33361
0	33260
-1	34828
-70	34829
-71	35456
0	35354
-1	36469
-70	36470
-71	36984
0	36883
-1	38218
-70	38219
-71	38712
0	38611
-1	41318
-70	41319
-71	41906
0	41805
-1	42549
-70	42550
-71	45674
0	45573
-1	46844
-70	46845
-71	48322
4	48221
-1	49626
-70	49627
-71	50435
4	50334
-1	51491
-70	51492
-71	52133
4	52032
-1	53325
-70	53326
-71	59215
6	59114
-1	59781
-70	59782
-71	60216
7	60115
-1	62235
-70	62236
-71	110253
7	110152
-1	111307
-70	111308
-71	112522
6	112421
-1	113098
-70	113099
-71	113833
2	113732
-1	114780
-70	114781
-71	115339
2	115238
-1	116427
-70	116428
-71	117171
2	117070
-1	117745
-70	117746
-71	123234
1	123133
-1	123777
-70	123778
-71	124315
1	124214
-1	125301
-70	125302
-71	125732
4	125631
-1	127725
-70	127726
-71	128319
4	128218
-1	129198
-70	129199
-71	129736
4	129635
-1	130051
-70	130052
-71	143946
4	143845
-1	145122
-70	145123
-71	145836
4	145735
-1	146518
-70	146519
-71	152581
7	152480
-1	153133
-70	153134
-71	153682
2	153581
-1	154696
-70	154697
-71	155277
2	155176
-1	156769
-70	156770
-71	164050
0	163949
-1	164929
-70	164930
-71	166398
4	166297
-1	166939
-70	166940
-71	167929
4	167828
-1	169028
-70	169029
-71	169639
4	169538
-1	170622
-70	170624
-71	171310
4	171209
-1	172679
-70	172680
-71	182013
7	181912
-1	182583
-70	182584
-71	183504
7	183403
-1	183955
-70	183956
-71	184795
6	184694
-1	185932
-70	185933
-71	187111
7	187010
-1	187488
-70	187489
-71	188246
2	188145
-1	189016
-70	189017
-71	189795
2	189694
-1	190584
-70	190585
-71	191320
2	191219
-1	192393
-70	192394
-71	198924
0	198823
-1	199667
-70	199668
-71	200382
1	200281
-1	202182
-70	202183
-71	203691
4	203590
-1	204597
-70	204598
-71	205466
4	205365
-1	206291
-70	206291
-71	207150
4	207049
-1	208078
-70	208079
-71	212353
7	212252
-1	212965
-70	212966
-71	213713
6	213612
-1	214506
-70	214507
-71	215281
7	215180
-1	216165
-70	216166
-71	217151
2	217050
-1	217967
-70	217968
-71	218727
2	218626
-1	219450
-70	219451
-71	220153
2	220052
-1	221731
-70	221732
-71	226310
0	226209
-1	227271
-70	227272
-71	228919
0	228818
-1	230240
-70	230241
-71	231698
1	231597
-1	232930
-70	232931
