-98	0
-70	3112
-10	3213
-70	3313
-10	3414
-100	3514
-666	3614
-71	9973
0	9872
-1	10467
-70	10968
-71	11038
1	10937
-1	11316
-70	11817
-71	17366
0	17265
-1	18401
-70	18902
-71	20421
0	20320
-1	22005
-70	22506
-71	22755
0	22654
-1	24467
-70	24968
-71	25123
0	25022
-1	26074
-70	26575
-71	26801
4	26700
-1	27492
-70	27993
-91	30857
-71	30857
39	30756
-1	31585
-70	32086
-71	41157
38	41056
-1	41512
-70	42013
-71	42189
38	42088
-1	42868
-70	43369
-71	43738
38	43637
-1	44397
-70	44898
-71	45212
38	45111
-1	45960
-70	46461
-71	46627
34	46526
-1	47244
-70	47745
-71	48125
34	48024
-1	48651
-70	49152
-71	49372
34	49271
-1	50024
-70	50525
-71	50644
34	50543
-1	51452
-70	51953
-71	53473
32	53372
-1	54044
-70	54545
-71	54665
36	54564
-1	55942
-70	56443
-71	58096
39	57995
-1	58572
-70	59073
-71	59173
39	59072
-1	59567
-70	60068
-71	60228
39	60127
-1	60564
-70	61065
-71	61232
39	61131
-1	61582
-70	62083
-71	62307
38	62206
-1	62744
-70	63245
-71	63413
34	63312
-1	63900
-70	64401
-71	66041
32	65940
-1	66497
-70	66998
-71	67069
32	66968
-1	67531
-70	68032
-71	68193
33	68092
-1	68639
-70	69140
-71	69239
32	69138
-1	69579
-70	70080
-71	70185
33	70084
-1	70569
-70	71070
-71	71217
33	71116
-1	71504
-70	72005
-71	72215
36	72114
-1	72442
-70	72943
-71	73161
36	73060
-1	73334
-70	73835
-71	74188
36	74087
-1	75115
-70	75616
-91	76948
-71	76948
6	76847
-1	78272
-70	78773
-71	78992
6	78891
-1	79370
-70	79872
-71	79964
6	79863
-1	80131
-70	80632
